"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","11/215","89/9561",0.123595505617978,5.49626339169062,6.46340233373159,4.51741765474182e-06,0.001242289855054,0.00114124235488214,"VTN/ITGA1/COL4A3/COL6A1/ITGB4/GP6/FRAS1/SV2A/LAMA2/FN1/TNXB",11
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","10/215","88/9561",0.113636363636364,5.05338266384778,5.79362605898487,2.62017126544057e-05,0.00360273548998079,0.00330969001950388,"VTN/C3/C1S/A2M/BDKRB2/CFB/SERPINE1/CFI/C4B/BDKRB1",10
NA,NA,"hsa04518","Integrin signaling","12/215","154/9561",0.0779220779220779,3.46517668378133,4.67754665093968,0.000178116913264587,0.0163273837159205,0.0149993190117547,"VTN/C3/ITGA1/COL4A3/COL6A1/EGF/ITGB4/VCAM1/FRAS1/LAMA2/FN1/TNXB",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","17/215","298/9561",0.0570469798657718,2.53686592789137,4.08793112674728,0.000392155530293311,0.0229504767858119,0.0210836915927076,"IL20RB/CD70/IL11RA/CCL5/IL34/GDF15/IL6/IL1R1/TNFRSF9/INHBB/IL1RN/TNFRSF10D/CCR3/CCL28/BMP5/IL32/TNFRSF8",17
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","9/215","102/9561",0.0882352941176471,3.92380300957592,4.50257410885997,0.00046590938470477,0.0229504767858119,0.0210836915927076,"C3/C1S/CFB/HLA-DMA/CFI/C4B/KRT14/KRT17/KRT16",9
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","9/215","103/9561",0.087378640776699,3.88570783472567,4.46587542003069,0.000500737675326805,0.0229504767858119,0.0210836915927076,"COL4A3/IL6/RAB7B/IL1R1/ARG2/CD14/LAMA2/FN1/PLCB1",9
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","12/215","203/9561",0.0591133004926108,2.62875472562722,3.55752102174872,0.00208768986146294,0.0820163874146156,0.0753451980076852,"VTN/BIRC3/ITGA1/MYLK/COL4A3/COL6A1/EGF/ITGB4/LAMA2/FN1/SHC3/TNXB",12
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","8/215","115/9561",0.0695652173913043,3.09354903943377,3.4256530505386,0.00433170308983191,0.14880842580539,0.136704391170502,"GNAO1/HTR1D/TRPC1/GNG7/PTGS1/ALOX12B/PLCB1/PLA2G4C",8
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","7/215","93/9561",0.0752688172043011,3.34718679669917,3.44981090700933,0.00487009393544914,0.14880842580539,0.136704391170502,"BIRC3/COL4A3/CDKN1A/LAMA2/FN1/TRAF1/BIRC7",7
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","7/215","99/9561",0.0707070707070707,3.14432699083862,3.25276303050933,0.00683803482740481,0.160973630187083,0.147880081320191,"BDKRB2/HRH1/IL1R1/PLCB1/PLA2G4C/TRPV2/BDKRB1",7
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","7/215","100/9561",0.07,3.11288372093023,3.22138300787413,0.00721620185201133,0.160973630187083,0.147880081320191,"IL20RB/CCL5/IL34/IL6/TNFRSF10D/CCR3/CCL28",7
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","7/215","100/9561",0.07,3.11288372093023,3.22138300787413,0.00721620185201133,0.160973630187083,0.147880081320191,"CD24/ITGA1/IL11RA/IL6/IL1R1/HLA-DMA/CD14",7
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","7/215","101/9561",0.0693069306930693,3.08206309002993,3.19039379279683,0.00760966251793484,0.160973630187083,0.147880081320191,"COL4A3/IL6/VCAM1/SERPINE1/FN1/PLCB1/PLCD4",7
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","7/215","103/9561",0.0679611650485437,3.02221720478663,3.1295510931994,0.00844390014185519,0.165862324215013,0.152371130379342,"GNAO1/C3/BDKRB2/CCL5/IL6/SERPINE1/PLCB1",7
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","6/215","80/9561",0.075,3.33523255813953,3.18114411962247,0.00910126888447753,0.166856596215421,0.153284528580674,"TGFA/IL6/EGF/NRG2/GAS6/SHC3",6
NA,NA,"hsa04382","Cornified envelope formation","11/215","217/9561",0.0506912442396313,2.25422784267495,2.83449161936026,0.00986061596198608,0.169479336846636,0.155693936241885,"KRT5/COL17A1/COL4A3/S100A1/ITGB4/CLDN1/S100A9/KRT14/ALOX12B/KRT17/KRT16",11
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","4/215","40/9561",0.1,4.44697674418605,3.31331215854956,0.012065691790149,0.195180308370057,0.179304398119861,"HK1/AMY2B/HKDC1/PYGM",4
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","8/215","139/9561",0.0575539568345324,2.55941107579053,2.80887072924193,0.0130806381173312,0.199843082348116,0.18358790340114,"GNAO1/TGFA/KRT14/PLCB1/KRT17/SHC3/ESR1/KRT16",8
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","15/215","362/9561",0.0414364640883978,1.84266992162405,2.47900130859859,0.0165531970635982,0.239585746973132,0.220097911094935,"VTN/ITGA1/COL4A3/TGFA/COL6A1/IL6/EGF/ITGB4/CDKN1A/GNG7/NRTN/LAMA2/FN1/TNXB/FGF22",15
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","8/215","160/9561",0.05,2.22348837209302,2.3670536363574,0.0279038421803878,0.302971956258716,0.278328304314228,"VCAM1/CLDN1/HLA-DMA/PECAM1/CDH5/NRXN2/CDH15/NCAM2",8
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","5/215","76/9561",0.0657894736842105,2.92564259485924,2.55622513075594,0.0279554846302342,0.302971956258716,0.278328304314228,"ACSL1/FABP3/SORBS1/ACOX2/FABP6",5
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","11/215","254/9561",0.0433070866141732,1.92585607031679,2.26824920557992,0.0283390385730475,0.302971956258716,0.278328304314228,"CACNA1H/BDKRB2/MYLK/TGFA/EGF/HRH1/PLCB1/MRLN/PLCD4/BDKRB1/FGF22",11
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","2/215","12/9561",0.166666666666667,7.41162790697674,3.37066254088914,0.02864002592391,0.302971956258716,0.278328304314228,"ASGR1/NCAM2",2
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","4/215","52/9561",0.0769230769230769,3.42075134168157,2.65472608459854,0.0290500920179581,0.302971956258716,0.278328304314228,"HK1/AMY2B/HKDC1/PLCB1",4
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","3/215","30/9561",0.1,4.44697674418605,2.86790679986287,0.0291388672217054,0.302971956258716,0.278328304314228,"FOLR1/IL6/FOLR3",3
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","5/215","78/9561",0.0641025641025641,2.85062611806798,2.48902008383284,0.0308286469951281,0.302971956258716,0.278328304314228,"C3/C1S/IL6/C4B/CD14",5
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","6/215","105/9561",0.0571428571428571,2.54112956810631,2.4083264665139,0.0308480537281602,0.302971956258716,0.278328304314228,"TNFAIP3/BIRC3/VCAM1/IL1R1/CD14/TRAF1",6
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","6/215","105/9561",0.0571428571428571,2.54112956810631,2.4083264665139,0.0308480537281602,0.302971956258716,0.278328304314228,"COL17A1/COL4A3/COL6A1/SLC1A1/SLC7A8/COL14A1",6
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","6/215","106/9561",0.0566037735849057,2.51715664765248,2.38225297597264,0.0321098023076933,0.30448950464192,0.279722415747601,"TGFA/FOLR1/EGF/CDKN1A/FOLR3/SPINT1",6
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","5/215","82/9561",0.0609756097560976,2.7115711854793,2.36078218261198,0.037114933900843,0.332583228740102,0.305531004392821,"KLRC2/HLA-DMA/KLRC3/KLRC4/KLRC1",5
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","6/215","110/9561",0.0545454545454545,2.42562367864693,2.28085485261325,0.0374912003307024,0.332583228740102,0.305531004392821,"HK1/IL6/EGF/CDKN1A/HKDC1/SERPINE1",6
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","5/215","86/9561",0.0581395348837209,2.585451595457,2.23999934537803,0.0441351250143112,0.376835996676808,0.346184264889699,"TGFA/EGF/CDKN1A/NRG2/SHC3",5
"Organismal Systems","Nervous system","hsa04730","Long-term depression","4/215","60/9561",0.0666666666666667,2.9646511627907,2.31532362649155,0.0456247571831553,0.376835996676808,0.346184264889699,"GNAO1/GNAZ/PLCB1/PLA2G4C",4
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","6/215","116/9561",0.0517241379310345,2.30016038492382,2.13678206827212,0.0465906323164053,0.376835996676808,0.346184264889699,"GNAO1/SLC1A1/TRPC1/GNG7/PLCB1/PLA2G4C",6
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","3/215","37/9561",0.0810810810810811,3.60565681961031,2.40848348342353,0.0497835981192912,0.391156842365859,0.359340257101651,"IL6/VCAM1/PLCB1",3
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/215","119/9561",0.0504201680672269,2.2421731483291,2.068039870391,0.05161274809501,0.394264047947993,0.362194723473754,"TNFAIP3/BIRC3/CCL5/IL6/VCAM1/TRAF1",6
NA,NA,"hsa03273","Virion - Lassa virus and SFTS virus","2/215","17/9561",0.117647058823529,5.23173734610123,2.6485808664215,0.0548519852895345,0.407683674449243,0.374522801407917,"PCDH9/PCDH1",2
NA,NA,"hsa04081","Hormone signaling","9/215","219/9561",0.0410958904109589,1.82752468939153,1.87896362920468,0.0589221806830821,0.426410518101252,0.391726408973399,"MC1R/GNAO1/SLC16A2/HEPHL1/AVPR2/ADRA2B/GNG7/PLCB1/ESR1",9
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","7/215","157/9561",0.0445859872611465,1.98272848466894,1.88305215176417,0.063855476050149,0.440285504589264,0.404472808043725,"CD24/SIRPA/MFGE8/RAB7B/PECAM1/ARG2/GAS6",7
"Organismal Systems","Immune system","hsa04611","Platelet activation","6/215","126/9561",0.0476190476190476,2.11760797342193,1.915310103338,0.0645753635932259,0.440285504589264,0.404472808043725,"MYLK/GP6/PTGS1/PLCB1/PLA2G4C/RASGRP2",6
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","5/215","99/9561",0.0505050505050505,2.24594785059901,1.88999771195626,0.0721098722642803,0.440285504589264,0.404472808043725,"ITGA1/IL6/ITGB4/LAMA2/CACNG6",5
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","12/215","333/9561",0.036036036036036,1.60251414204903,1.69734785774917,0.0726450251047515,0.440285504589264,0.404472808043725,"VTN/ITGA1/COL4A3/COL6A1/EGF/ITGB4/CDKN1A/LAMA2/FN1/WNT10A/PARD6G/TNXB",12
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","3/215","44/9561",0.0681818181818182,3.03202959830867,2.04899840757827,0.0758288432679964,0.440285504589264,0.404472808043725,"HLA-DMA/CPE/ICA1",3
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","11/215","300/9561",0.0366666666666667,1.63055813953488,1.68303097582314,0.0758895722526761,0.440285504589264,0.404472808043725,"CACNA1H/TGFA/EGF/IL1R1/NRTN/CD14/PLA2G4C/MAPT/RASGRP2/CACNG6/FGF22",11
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","9/215","232/9561",0.0387931034482759,1.72512028869286,1.69578890860516,0.0783370481372105,0.440285504589264,0.404472808043725,"GSN/ITGA1/BDKRB2/MYLK/EGF/ITGB4/FN1/BDKRB1/FGF22",9
"Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","2/215","21/9561",0.0952380952380952,4.23521594684385,2.25099236725921,0.0799235186883333,0.440285504589264,0.404472808043725,"CHST11/CHST13",2
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","3/215","45/9561",0.0666666666666667,2.9646511627907,2.00354812024103,0.0799567206964441,0.440285504589264,0.404472808043725,"ABCB1/ABCC6/ABCA4",3
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","3/215","45/9561",0.0666666666666667,2.9646511627907,2.00354812024103,0.0799567206964441,0.440285504589264,0.404472808043725,"IL6/HLA-DMA/KLRC1",3
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","9/215","233/9561",0.0386266094420601,1.71771633895598,1.6821774726514,0.0799752442669333,0.440285504589264,0.404472808043725,"ITGA1/COL4A3/COL6A1/ITGB4/LAMA2/FN1/BGN/SPTBN5/AMPD3",9
NA,NA,"hsa04082","Neuroactive ligand signaling","8/215","199/9561",0.0402010050251256,1.7877293443964,1.70315640304786,0.0800519099253206,0.440285504589264,0.404472808043725,"GNAO1/SLC1A1/HTR1D/HRH1/ADRA2B/TAC3/GNG7/PLCB1",8
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","2/215","22/9561",0.0909090909090909,4.04270613107822,2.16698154840531,0.0866560691033578,0.457670695651093,0.420443892655549,"AOC1/HDC",2
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","9/215","238/9561",0.0378151260504202,1.68162986124682,1.61508183340803,0.0884779891184975,0.457670695651093,0.420443892655549,"TGFA/EGF/AFDN/GNG7/PLA2G4C/RASGRP2/SHC3/RGL1/FGF22",9
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","5/215","106/9561",0.0471698113207547,2.0976305397104,1.72350931842769,0.0904129376605698,0.457670695651093,0.420443892655549,"RAB27B/AMY2B/CLCA2/TRPC1/PLCB1",5
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","6/215","138/9561",0.0434782608695652,1.93346814964611,1.67525043588599,0.0908592334570402,0.457670695651093,0.420443892655549,"HK1/PPP1R3B/SORBS1/HKDC1/SHC3/PYGM",6
"Human Diseases","Cancer: specific types","hsa05214","Glioma","4/215","76/9561",0.0526315789473684,2.34051407588739,1.77948689858821,0.0915341391302185,0.457670695651093,0.420443892655549,"TGFA/EGF/CDKN1A/SHC3",4
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","5/215","110/9561",0.0454545454545455,2.02135306553911,1.63406243222426,0.101853841780532,0.475371028233947,0.436704485267549,"FMOD/LTBP1/INHBB/CHRD/BMP5",5
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"SAT1/AOC1/ARG2",3
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"IL6/HLA-DMA/CCL28",3
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","3/215","50/9561",0.06,2.66818604651163,1.79370774476316,0.101988693330192,0.475371028233947,0.436704485267549,"IL6/VCAM1/PECAM1",3
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","6/215","144/9561",0.0416666666666667,1.85290697674419,1.56409063439551,0.10588965708394,0.48532759496806,0.445851187721855,"C3/C1S/HLA-DMA/H4C14/H2AC19/C4B",6
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/215","112/9561",0.0446428571428571,1.98525747508306,1.59074700086197,0.107833410664919,0.486134228407423,0.446592209828829,"GNAO1/BIRC3/HLA-DMA/LAMA2/BIRC7",5
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","3/215","53/9561",0.0566037735849057,2.51715664765248,1.67980573785373,0.116240842638033,0.487532454042314,0.447876704191982,"BDKRB2/PLCB1/ESR1",3
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","6/215","148/9561",0.0405405405405405,1.80282840980515,1.49287982388896,0.116584838097929,0.487532454042314,0.447876704191982,"EGF/CDKN1A/WNT10A/SHC3/ESR1/FGF22",6
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","6/215","149/9561",0.0402684563758389,1.79072889027626,1.4754179720447,0.119340872925373,0.487532454042314,0.447876704191982,"EGF/AVPR2/DGKG/PLCB1/PLA2G4C/SHC3",6
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/215","116/9561",0.0431034482758621,1.91680032076985,1.50673909797823,0.120294452280222,0.487532454042314,0.447876704191982,"VCAM1/CLDN1/PECAM1/CDH5/AFDN",5
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","7/215","184/9561",0.0380434782608696,1.69178463094034,1.43708729707301,0.121099188550475,0.487532454042314,0.447876704191982,"EPHB2/SEMA5A/RND1/TRPC1/EPHB3/ABLIM2/PARD6G",7
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","6/215","150/9561",0.04,1.77879069767442,1.45808816865291,0.122129278749667,0.487532454042314,0.447876704191982,"ABCB1/EGF/CDKN1A/WNT10A/SHC3/FGF22",6
"Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","2/215","27/9561",0.0740740740740741,3.29405684754522,1.81043847975327,0.122558063067513,0.487532454042314,0.447876704191982,"ELOVL3/ELOVL7",2
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","4/215","85/9561",0.0470588235294118,2.09269493844049,1.53472707892875,0.124251761264129,0.487532454042314,0.447876704191982,"NME1-NME2/NT5E/ENTPD2/AMPD3",4
"Organismal Systems","Sensory system","hsa04742","Taste transduction","4/215","86/9561",0.0465116279069767,2.0683612763656,1.50943022577512,0.128159889861681,0.487532454042314,0.447876704191982,"HTR1D/ENTPD2/HCN4/PLCB1",4
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","4/215","86/9561",0.0465116279069767,2.0683612763656,1.50943022577512,0.128159889861681,0.487532454042314,0.447876704191982,"ITGA1/ITGB4/LAMA2/CACNG6",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","12/215","370/9561",0.0324324324324324,1.44226272784412,1.31593702707223,0.129634170185364,0.487532454042314,0.447876704191982,"MC1R/C3/BDKRB2/HTR1D/SPX/HRH1/AVPR2/ADRA2B/APELA/TAC3/GPR35/BDKRB1",12
"Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","2/215","28/9561",0.0714285714285714,3.17641196013289,1.7492045999289,0.130117054515212,0.487532454042314,0.447876704191982,"ELOVL3/ELOVL7",2
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","3/215","56/9561",0.0535714285714286,2.38230897009967,1.57346963735132,0.131190551269568,0.487532454042314,0.447876704191982,"C3/IL6/CD14",3
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","3/215","57/9561",0.0526315789473684,2.34051407588739,1.53953965695966,0.136317640875553,0.491038346723153,0.451097428568639,"ACSL1/ELOVL3/ELOVL7",3
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","6/215","155/9561",0.0387096774193548,1.72141035258815,1.37334933007501,0.136546765600121,0.491038346723153,0.451097428568639,"GNAO1/MYLK/CDKN1A/PLCB1/PLA2G4C/CACNG6",6
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","2/215","29/9561",0.0689655172413793,3.06688051323176,1.69066530576124,0.137780859419778,0.491038346723153,0.451097428568639,"DCHS1/FRMD6",2
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","8/215","227/9561",0.0352422907488987,1.56721647372195,1.31178648960167,0.139650434905792,0.491038346723153,0.451097428568639,"GNAO1/CCL5/IL6/CDKN1A/IL1R1/GNG7/CCR3/PLCB1",8
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","6/215","157/9561",0.0382165605095541,1.69948155828766,1.34030942829205,0.142529870794868,0.491038346723153,0.451097428568639,"BIRC3/SERPINE1/FRMD6/BMP5/WNT10A/PARD6G",6
NA,NA,"hsa04517","IgSF CAM signaling","10/215","302/9561",0.033112582781457,1.47250885569074,1.26551317126017,0.143145983898315,0.491038346723153,0.451097428568639,"SCN8A/MYLK/SORBS1/SLAMF7/PPFIA4/AFDN/CD244/PARD6G/NCAM2/SPTBN5",10
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","7/215","193/9561",0.0362694300518135,1.61289311965297,1.30459361066965,0.14463311303482,0.491038346723153,0.451097428568639,"CCL5/GNG7/CCR3/PLCB1/CCL28/RASGRP2/SHC3",7
NA,NA,"hsa04981","Folate transport and metabolism","2/215","31/9561",0.0645161290322581,2.86901725431358,1.58082208651749,0.153389330326125,0.51441543706932,0.472573033097174,"FOLR1/FOLR3",2
"Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","4/215","93/9561",0.043010752688172,1.91267816954239,1.3414216151456,0.156889592945352,0.519814916385202,0.477533320315593,"SORBS1/PTPRB/CDH5/AFDN",4
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","2/215","32/9561",0.0625,2.77936046511628,1.52915162425657,0.161318008907534,0.52191120528908,0.479459097681834,"HK1/HKDC1",2
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/215","32/9561",0.0625,2.77936046511628,1.52915162425657,0.161318008907534,0.52191120528908,0.479459097681834,"BIRC3/BIRC7",2
