"gene","importance","model","hgnc_symbol","description"
"ENSG00000165548",100,"Random Forest","TMEM63C","transmembrane protein 63C [Source:HGNC Symbol;Acc:HGNC:23787]"
"ENSG00000008056",93.4782608695652,"Random Forest","SYN1","synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]"
"ENSG00000185479",82.6086956521739,"Random Forest","KRT6B","keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]"
"ENSG00000293642",75,"Random Forest","","novel protein"
"ENSG00000163395",71.7391304347826,"Random Forest","IGFN1","immunoglobulin like and fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24607]"
"ENSG00000280571",66.304347826087,"Random Forest","","novel protein"
"ENSG00000002933",66.304347826087,"Random Forest","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]"
"ENSG00000143107",66.304347826087,"Random Forest","FNDC7","fibronectin type III domain containing 7 [Source:HGNC Symbol;Acc:HGNC:26668]"
"ENSG00000022355",66.304347826087,"Random Forest","GABRA1","gamma-aminobutyric acid type A receptor subunit alpha1 [Source:HGNC Symbol;Acc:HGNC:4075]"
"ENSG00000120948",64.1304347826087,"Random Forest","TARDBP","TAR DNA binding protein [Source:HGNC Symbol;Acc:HGNC:11571]"
"ENSG00000179772",61.9565217391304,"Random Forest","FOXS1","forkhead box S1 [Source:HGNC Symbol;Acc:HGNC:3735]"
"ENSG00000101938",60.8695652173913,"Random Forest","CHRDL1","chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]"
"ENSG00000189064",60.8695652173913,"Random Forest","GAGE2A","G antigen 2A [Source:HGNC Symbol;Acc:HGNC:4099]"
"ENSG00000137558",56.5217391304348,"Random Forest","PI15","peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]"
"ENSG00000173530",56.5217391304348,"Random Forest","TNFRSF10D","TNF receptor superfamily member 10d [Source:HGNC Symbol;Acc:HGNC:11907]"
"ENSG00000198520",56.5217391304348,"Random Forest","ARMH1","armadillo like helical domain containing 1 [Source:HGNC Symbol;Acc:HGNC:34345]"
"ENSG00000107249",55.4347826086957,"Random Forest","GLIS3","GLIS family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:28510]"
"ENSG00000188959",55.4347826086956,"Random Forest","C9orf152","chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]"
"ENSG00000122176",53.2608695652174,"Random Forest","FMOD","fibromodulin [Source:HGNC Symbol;Acc:HGNC:3774]"
"ENSG00000152582",52.1739130434783,"Random Forest","SPEF2","sperm flagellar 2 [Source:HGNC Symbol;Acc:HGNC:26293]"
"ENSG00000164175",52.1739130434783,"Random Forest","SLC45A2","solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]"
"ENSG00000274286",46.7391304347826,"Random Forest","ADRA2B","adrenoceptor alpha 2B [Source:HGNC Symbol;Acc:HGNC:282]"
"ENSG00000224389",45.6521739130435,"Random Forest","C4B","complement C4B (Chido/Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1324]"
"ENSG00000163220",45.6521739130435,"Random Forest","S100A9","S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]"
"ENSG00000166313",44.5652173913043,"Random Forest","APBB1","amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]"
"ENSG00000188886",43.4782608695652,"Random Forest","ASTL","astacin like metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:31704]"
"ENSG00000219529",42.3913043478261,"Random Forest","","ribosomal protein S20 (RPS20) pseudogene"
"ENSG00000186847",41.304347826087,"Random Forest","KRT14","keratin 14 [Source:HGNC Symbol;Acc:HGNC:6416]"
"ENSG00000285901",41.304347826087,"Random Forest","","novel transcript"
"ENSG00000272822",41.304347826087,"Random Forest","","novel protein"
"ENSG00000255860",40.2173913043478,"Random Forest","","folate receptor 3 (gamma) (FOLR3) pseudogene"
"ENSG00000122223",39.1304347826087,"Random Forest","CD244","CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]"
"ENSG00000204866",39.1304347826087,"Random Forest","IGFL2","IGF like family member 2 [Source:HGNC Symbol;Acc:HGNC:32929]"
"ENSG00000136244",39.1304347826087,"Random Forest","IL6","interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]"
"ENSG00000168143",39.1304347826087,"Random Forest","FAM83B","family with sequence similarity 83 member B [Source:HGNC Symbol;Acc:HGNC:21357]"
"ENSG00000047662",38.0434782608696,"Random Forest","FAM184B","family with sequence similarity 184 member B [Source:HGNC Symbol;Acc:HGNC:29235]"
"ENSG00000087258",38.0434782608696,"Random Forest","GNAO1","G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]"
"ENSG00000138759",38.0434782608696,"Random Forest","FRAS1","Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]"
"ENSG00000276600",36.9565217391304,"Random Forest","RAB7B","RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"
"ENSG00000249141",36.9565217391304,"Random Forest","","novel protein"
"ENSG00000118971",36.9565217391304,"Random Forest","CCND2","cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]"
"ENSG00000285238",36.9565217391304,"Random Forest","","novel transcript"
"ENSG00000123119",35.8695652173913,"Random Forest","NECAB1","N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983]"
"ENSG00000168671",34.7826086956522,"Random Forest","UGT3A2","UDP glycosyltransferase family 3 member A2 [Source:HGNC Symbol;Acc:HGNC:27266]"
"ENSG00000058866",33.695652173913,"Random Forest","DGKG","diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]"
"ENSG00000166482",33.695652173913,"Random Forest","MFAP4","microfibril associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"ENSG00000130477",33.695652173913,"Random Forest","UNC13A","unc-13 homolog A [Source:HGNC Symbol;Acc:HGNC:23150]"
"ENSG00000015520",31.5217391304348,"Random Forest","NPC1L1","NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]"
"ENSG00000186007",31.5217391304348,"Random Forest","LEMD1","LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18725]"
"ENSG00000127249",31.5217391304348,"Random Forest","ATP13A4","ATPase 13A4 [Source:HGNC Symbol;Acc:HGNC:25422]"
"ENSG00000133985",29.3478260869565,"Random Forest","TTC9","tetratricopeptide repeat domain 9 [Source:HGNC Symbol;Acc:HGNC:20267]"
"ENSG00000122733",29.3478260869565,"Random Forest","PHF24","PHD finger protein 24 [Source:HGNC Symbol;Acc:HGNC:29180]"
"ENSG00000288258",29.3478260869565,"Random Forest","","novel protein"
"ENSG00000137975",29.3478260869565,"Random Forest","CLCA2","chloride channel accessory 2 [Source:HGNC Symbol;Acc:HGNC:2016]"
"ENSG00000283239",29.3478260869565,"Random Forest","","KBTBD11 overlapping transcript 1 [Source:NCBI gene (formerly Entrezgene);Acc:104266957]"
"ENSG00000243775",29.3478260869565,"Random Forest","OSTCP1","oligosaccharyltransferase complex subunit pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:30530]"
"ENSG00000047644",29.3478260869565,"Random Forest","WWC3","WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]"
"ENSG00000133401",28.2608695652174,"Random Forest","PDZD2","PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18486]"
"ENSG00000110002",28.2608695652174,"Random Forest","VWA5A","von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]"
"ENSG00000181143",27.1739130434783,"Random Forest","MUC16","mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]"
"ENSG00000126759",27.1739130434783,"Random Forest","CFP","complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]"
"ENSG00000151117",26.0869565217391,"Random Forest","TMEM86A","transmembrane protein 86A [Source:HGNC Symbol;Acc:HGNC:26890]"
"ENSG00000196188",26.0869565217391,"Random Forest","CTSE","cathepsin E [Source:HGNC Symbol;Acc:HGNC:2530]"
"ENSG00000183423",23.9130434782609,"Random Forest","LRIT3","leucine rich repeat, Ig-like and transmembrane domains 3 [Source:HGNC Symbol;Acc:HGNC:24783]"
"ENSG00000170439",23.9130434782609,"Random Forest","TMT1B","thiol methyltransferase 1B [Source:HGNC Symbol;Acc:HGNC:28276]"
"ENSG00000173867",23.9130434782609,"Random Forest","","novel transcript"
"ENSG00000162039",23.9130434782609,"Random Forest","MEIOB","meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]"
"ENSG00000177830",23.9130434782609,"Random Forest","CHID1","chitinase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28474]"
"ENSG00000243649",22.8260869565217,"Random Forest","CFB","complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]"
"ENSG00000044524",20.6521739130435,"Random Forest","EPHA3","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]"
"ENSG00000166341",20.6521739130435,"Random Forest","DCHS1","dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]"
"ENSG00000162692",19.5652173913044,"Random Forest","VCAM1","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]"
"ENSG00000103647",19.5652173913044,"Random Forest","CORO2B","coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]"
"ENSG00000116183",19.5652173913043,"Random Forest","PAPPA2","pappalysin 2 [Source:HGNC Symbol;Acc:HGNC:14615]"
"ENSG00000121769",19.5652173913043,"Random Forest","FABP3","fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]"
"ENSG00000168734",18.4782608695652,"Random Forest","PKIG","cAMP-dependent protein kinase inhibitor gamma [Source:HGNC Symbol;Acc:HGNC:9019]"
"ENSG00000113140",17.3913043478261,"Random Forest","SPARC","secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]"
"ENSG00000134548",16.304347826087,"Random Forest","SPX","spexin hormone [Source:HGNC Symbol;Acc:HGNC:28139]"
"ENSG00000169432",16.304347826087,"Random Forest","SCN9A","sodium voltage-gated channel alpha subunit 9 [Source:HGNC Symbol;Acc:HGNC:10597]"
"ENSG00000169085",15.2173913043478,"Random Forest","VXN","vexin [Source:HGNC Symbol;Acc:HGNC:28498]"
"ENSG00000154822",15.2173913043478,"Random Forest","PLCL2","phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]"
"ENSG00000138622",15.2173913043478,"Random Forest","HCN4","hyperpolarization activated cyclic nucleotide gated potassium channel 4 [Source:HGNC Symbol;Acc:HGNC:16882]"
"ENSG00000116299",14.1304347826087,"Random Forest","ELAPOR1","endosome-lysosome associated apoptosis and autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:29618]"
"ENSG00000144935",10.8695652173913,"Random Forest","TRPC1","transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]"
"ENSG00000186081",10.8695652173913,"Random Forest","KRT5","keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]"
"ENSG00000280893",10.8695652173913,"Random Forest","","novel transcript"
"ENSG00000244115",9.78260869565217,"Random Forest","DNAJC25-GNG10","DNAJC25-GNG10 readthrough [Source:HGNC Symbol;Acc:HGNC:37501]"
"ENSG00000136689",8.69565217391304,"Random Forest","IL1RN","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]"
"ENSG00000106565",8.69565217391304,"Random Forest","TMEM176B","transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]"
"ENSG00000134545",8.69565217391304,"Random Forest","KLRC1","killer cell lectin like receptor C1 [Source:HGNC Symbol;Acc:HGNC:6374]"
"ENSG00000110203",8.69565217391304,"Random Forest","FOLR3","folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]"
"ENSG00000271329",6.52173913043478,"Random Forest","","metaxin 3 (MTX3) pseudogene"
"ENSG00000067057",6.52173913043478,"Random Forest","PFKP","phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]"
"ENSG00000111885",6.52173913043478,"Random Forest","MAN1A1","mannosidase alpha class 1A member 1 [Source:HGNC Symbol;Acc:HGNC:6821]"
"ENSG00000056558",6.52173913043478,"Random Forest","TRAF1","TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]"
"ENSG00000136869",5.43478260869565,"Random Forest","TLR4","toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]"
"ENSG00000162777",5.43478260869565,"Random Forest","DENND2D","DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]"
"ENSG00000065618",2.17391304347826,"Random Forest","COL17A1","collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]"
"ENSG00000116774",1.08695652173913,"Random Forest","OLFML3","olfactomedin like 3 [Source:HGNC Symbol;Acc:HGNC:24956]"
"ENSG00000147100",0,"Random Forest","SLC16A2","solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]"
